GAS,TEMP,UMID,Classe
664,31.00,39.00,Sim
376,31.00,39.00,Nao
369,31.00,39.00,Nao
377,31.00,39.00,Nao
369,31.00,39.00,Nao
385,31.00,39.00,Nao
372,31.00,39.00,Nao
372,31.00,39.00,Nao
375,31.00,39.00,Nao
375,31.00,38.00,Nao
376,31.00,38.00,Nao
370,31.00,38.00,Nao
377,31.00,38.00,Nao
644,31.00,38.00,Sim
377,31.00,38.00,Nao
370,31.00,38.00,Nao
374,31.00,38.00,Nao
376,31.00,38.00,Nao
370,31.00,38.00,Nao
377,31.00,38.00,Nao
370,31.00,38.00,Nao
384,31.00,38.00,Nao
377,31.00,38.00,Nao
378,31.00,38.00,Nao
370,31.00,38.00,Nao
377,31.00,38.00,Nao
374,31.00,38.00,Nao
374,31.00,38.00,Nao
377,31.00,38.00,Nao
369,31.00,38.00,Nao
378,31.00,38.00,Nao
370,31.00,38.00,Nao
376,31.00,38.00,Nao
374,31.00,38.00,Nao
370,31.00,38.00,Nao
642,31.00,38.00,Sim
369,31.00,38.00,Nao
385,31.00,38.00,Nao
376,31.00,38.00,Nao
370,31.00,38.00,Nao
379,31.00,38.00,Nao
370,31.00,38.00,Nao
376,31.00,38.00,Nao
375,31.00,38.00,Nao
385,31.00,38.00,Nao
385,31.00,38.00,Nao
374,31.00,38.00,Nao
375,31.00,38.00,Nao
678,36.00,38.00,Sim
372,31.00,38.00,Nao
377,31.00,38.00,Nao
372,31.00,38.00,Nao
377,31.00,38.00,Nao
384,31.00,38.00,Nao
375,31.00,38.00,Nao
374,31.00,38.00,Nao
374,31.00,38.00,Nao
399,31.00,38.00,Nao
372,31.00,38.00,Nao
376,31.00,38.00,Nao
372,31.00,38.00,Nao
385,31.00,38.00,Nao
370,31.00,38.00,Nao
377,31.00,37.00,Nao
370,31.00,38.00,Nao
379,31.00,38.00,Nao
374,31.00,37.00,Nao
378,31.00,37.00,Nao
372,31.00,37.00,Nao
386,31.00,37.00,Nao
657,31.00,37.00,Sim
374,31.00,37.00,Nao
377,31.00,37.00,Nao
370,31.00,37.00,Nao
379,31.00,37.00,Nao
372,31.00,37.00,Nao
376,31.00,36.00,Nao
384,32.00,36.00,Nao
372,32.00,36.00,Nao
396,32.00,36.00,Nao
370,32.00,36.00,Nao
379,32.00,36.00,Nao
370,32.00,36.00,Nao
377,32.00,35.00,Nao
374,32.00,35.00,Nao
324,32.00,35.00,Nao
377,32.00,35.00,Nao
370,32.00,35.00,Nao
384,32.00,35.00,Nao
365,32.00,35.00,Nao
382,32.00,35.00,Nao
372,32.00,35.00,Nao
680,32.00,35.00,Sim
385,32.00,35.00,Nao
372,32.00,35.00,Nao
375,32.00,36.00,Nao
372,31.00,36.00,Nao
375,31.00,36.00,Nao
372,31.00,37.00,Nao
372,31.00,37.00,Nao
374,31.00,37.00,Nao
606,31.00,38.00,Sim
376,30.00,37.00,Nao
369,30.00,38.00,Nao
379,30.00,39.00,Nao
372,29.00,40.00,Nao
378,29.00,41.00,Nao
375,28.00,41.00,Nao
376,28.00,42.00,Nao
660,28.00,43.00,Sim
381,27.00,43.00,Nao
382,27.00,44.00,Nao
376,27.00,45.00,Nao
379,26.00,46.00,Nao
673,26.00,48.00,Sim
376,26.00,49.00,Nao
384,26.00,50.00,Nao
389,25.00,49.00,Nao
379,25.00,50.00,Nao
386,25.00,51.00,Nao
376,25.00,52.00,Nao
386,25.00,52.00,Nao
379,25.00,53.00,Nao
623,25.00,53.00,Sim
385,24.00,54.00,Nao
328,24.00,55.00,Nao
387,24.00,55.00,Nao
384,24.00,56.00,Nao
382,24.00,57.00,Nao
389,23.00,58.00,Nao
382,23.00,58.00,Nao
386,23.00,59.00,Nao
391,23.00,60.00,Nao
389,23.00,60.00,Nao
389,23.00,60.00,Nao
384,23.00,60.00,Nao
660,23.00,61.00,Sim
387,23.00,61.00,Nao
380,23.00,61.00,Nao
388,23.00,61.00,Nao
384,23.00,61.00,Nao
331,23.00,62.00,Nao
388,23.00,62.00,Nao
379,23.00,62.00,Nao
385,23.00,62.00,Nao
388,23.00,62.00,Nao
379,23.00,62.00,Nao
387,23.00,62.00,Nao
378,23.00,62.00,Nao
777,23.00,62.00,Sim
381,23.00,62.00,Nao
379,23.00,62.00,Nao
382,23.00,63.00,Nao
379,23.00,63.00,Nao
385,23.00,63.00,Nao
377,23.00,63.00,Nao
385,23.00,63.00,Nao
384,23.00,63.00,Nao
705,23.00,63.00,Sim
776,23.00,63.00,Sim
377,23.00,63.00,Nao
382,22.00,63.00,Nao
573,23.00,63.00,Sim
382,23.00,63.00,Nao
376,23.00,64.00,Nao
386,22.00,63.00,Nao
379,23.00,64.00,Nao
374,23.00,64.00,Nao
381,23.00,64.00,Nao
375,23.00,63.00,Nao
376,23.00,64.00,Nao
508,22.00,63.00,Sim
372,23.00,64.00,Nao
384,22.00,64.00,Nao
377,22.00,64.00,Nao
370,22.00,64.00,Nao
379,22.00,64.00,Nao
376,22.00,64.00,Nao
374,22.00,64.00,Nao
379,22.00,64.00,Nao
375,22.00,64.00,Nao
382,22.00,64.00,Nao
376,22.00,64.00,Nao
372,22.00,64.00,Nao
559,22.00,64.00,Sim
370,22.00,64.00,Nao
376,22.00,64.00,Nao
372,22.00,64.00,Nao
374,22.00,64.00,Nao
382,22.00,64.00,Nao
370,22.00,64.00,Nao
376,23.00,64.00,Nao
368,22.00,64.00,Nao
396,22.00,64.00,Nao
369,22.00,64.00,Nao
376,22.00,65.00,Nao
370,22.00,65.00,Nao
380,22.00,65.00,Nao
376,22.00,65.00,Nao
370,22.00,66.00,Nao
378,22.00,66.00,Nao
375,22.00,67.00,Nao
379,21.00,66.00,Nao
379,21.00,66.00,Nao
375,21.00,67.00,Nao
333,21.00,67.00,Nao
856,21.00,68.00,Sim
377,21.00,68.00,Nao
386,21.00,68.00,Nao
377,21.00,69.00,Nao
387,21.00,69.00,Nao
379,21.00,69.00,Nao
388,21.00,70.00,Nao
391,20.00,69.00,Nao
388,21.00,71.00,Nao
397,20.00,70.00,Nao
386,20.00,70.00,Nao
388,20.00,71.00,Nao
381,20.00,71.00,Nao
663,20.00,71.00,Sim
384,20.00,71.00,Nao
388,20.00,71.00,Nao
387,20.00,71.00,Nao
385,20.00,71.00,Nao
393,20.00,71.00,Nao
382,20.00,71.00,Nao
388,20.00,71.00,Nao
386,20.00,71.00,Nao
648,20.00,71.00,Sim
331,20.00,71.00,Nao
381,20.00,71.00,Nao
388,20.00,71.00,Nao
379,20.00,71.00,Nao
388,20.00,71.00,Nao
379,20.00,71.00,Nao
385,20.00,71.00,Nao
381,20.00,71.00,Nao
398,20.00,71.00,Nao
384,20.00,71.00,Nao
377,20.00,71.00,Nao
385,20.00,71.00,Nao
642,20.00,71.00,Sim
379,20.00,71.00,Nao
382,20.00,71.00,Nao
376,20.00,71.00,Nao
389,20.00,71.00,Nao
382,21.00,71.00,Nao
377,21.00,72.00,Nao
382,20.00,71.00,Nao
376,21.00,71.00,Nao
662,20.00,70.00,Sim
377,21.00,71.00,Nao
378,21.00,71.00,Nao
386,21.00,71.00,Nao
374,21.00,71.00,Nao
381,21.00,71.00,Nao
376,21.00,71.00,Nao
377,20.00,70.00,Nao
377,21.00,71.00,Nao
378,21.00,71.00,Nao
378,21.00,70.00,Nao
384,21.00,68.00,Nao
379,21.00,67.00,Nao
726,20.00,65.00,Sim
379,20.00,66.00,Nao
376,20.00,65.00,Nao
375,21.00,66.00,Nao
379,20.00,64.00,Nao
370,20.00,64.00,Nao
790,20.00,65.00,Sim
376,20.00,66.00,Nao
375,19.00,67.00,Nao
388,20.00,68.00,Nao
374,20.00,69.00,Nao
386,20.00,70.00,Nao
378,20.00,70.00,Nao
204,19.00,71.00,Nao
332,19.00,72.00,Nao
386,19.00,72.00,Nao
389,19.00,73.00,Nao
386,19.00,73.00,Nao
398,19.00,73.00,Nao
388,19.00,74.00,Nao
391,19.00,74.00,Nao
394,19.00,74.00,Nao
720,19.00,74.00,Sim
396,19.00,74.00,Nao
393,19.00,74.00,Nao
391,19.00,73.00,Nao
399,19.00,72.00,Nao
389,19.00,71.00,Nao
396,19.00,71.00,Nao
391,18.00,70.00,Nao
329,19.00,69.00,Nao
399,19.00,69.00,Nao
386,19.00,68.00,Nao
391,18.00,68.00,Nao
392,18.00,68.00,Nao
878,18.00,71.00,Sim
394,18.00,72.00,Nao
391,18.00,74.00,Nao
327,19.00,75.00,Nao
397,18.00,76.00,Nao
391,18.00,76.00,Nao
390,18.00,77.00,Nao
399,18.00,77.00,Nao
391,18.00,77.00,Nao
854,18.00,76.00,Sim
397,18.00,76.00,Nao
324,18.00,74.00,Nao
398,18.00,72.00,Nao
392,18.00,71.00,Nao
388,18.00,72.00,Nao
397,18.00,72.00,Nao
397,17.00,69.00,Nao
386,18.00,69.00,Nao
399,18.00,68.00,Nao
396,17.00,66.00,Nao
386,17.00,66.00,Nao
389,17.00,67.00,Nao
876,17.00,68.00,Sim
385,17.00,70.00,Nao
388,17.00,70.00,Nao
389,17.00,69.00,Nao
380,17.00,67.00,Nao
393,17.00,66.00,Nao
385,17.00,65.00,Nao
850,17.00,63.00,Sim
389,17.00,63.00,Nao
382,17.00,64.00,Nao
382,17.00,65.00,Nao
388,17.00,66.00,Nao
380,17.00,67.00,Nao
388,17.00,67.00,Nao
388,17.00,66.00,Nao
382,16.00,66.00,Nao
377,16.00,66.00,Nao
385,16.00,66.00,Nao
380,16.00,65.00,Nao
376,16.00,63.00,Nao
384,16.00,62.00,Nao
328,16.00,61.00,Nao
882,16.00,60.00,Sim
380,16.00,61.00,Nao
382,16.00,61.00,Nao
376,16.00,62.00,Nao
378,16.00,63.00,Nao
382,16.00,62.00,Nao
378,16.00,63.00,Nao
382,15.00,64.00,Nao
379,16.00,67.00,Nao
702,16.00,69.00,Sim
381,16.00,71.00,Nao
379,16.00,72.00,Nao
386,16.00,74.00,Nao
787,16.00,75.00,Sim
381,16.00,77.00,Nao
748,16.00,77.00,Sim
392,16.00,78.00,Nao
387,16.00,78.00,Nao
382,16.00,79.00,Nao
388,16.00,79.00,Nao
394,16.00,80.00,Nao
389,16.00,80.00,Nao
773,16.00,80.00,Sim
397,16.00,82.00,Nao
396,16.00,84.00,Nao
388,16.00,85.00,Nao
389,16.00,87.00,Nao
399,16.00,87.00,Nao
389,16.00,88.00,Nao
389,15.00,88.00,Nao
